year,metric_key,metric_label,reference_label,reference_value,pi_value,display_value,unit,underperformance_reason
2027,coverage_shortfall_pct_pts,Coverage shortfall to 100%,Ideal full feasible-pair coverage,100.0,0.0,100.0,pct-pts,PI expands into harder non-metro flows; a small share of feasible pairs remains uncovered as the network scales.
2027,relay_unready_share_pct,Relay network not ready,Ideal fully ready relay network,100.0,1.9099999999999966,98.09,%,"The larger relay mesh creates more edge cases and coordination dependencies, so readiness degrades as the footprint grows."
2027,service_tail_spread_hr,p95-minus-mean service time,Lower tail spread is better,7.232,4.521,11.753,hours,Multi-hop routings and long-tail last-mile legs widen the gap between average and p95 service time.
2027,network_touchpoints_ratio_vs_old,Network touchpoints vs old,Old network operating sites,2.0,36.0,72.0,x,"PI uses many more operating nodes than the old DC-centric design, increasing orchestration and partner-management burden."
2028,coverage_shortfall_pct_pts,Coverage shortfall to 100%,Ideal full feasible-pair coverage,100.0,0.9000000000000057,99.1,pct-pts,PI expands into harder non-metro flows; a small share of feasible pairs remains uncovered as the network scales.
2028,relay_unready_share_pct,Relay network not ready,Ideal fully ready relay network,100.0,10.430000000000007,89.57,%,"The larger relay mesh creates more edge cases and coordination dependencies, so readiness degrades as the footprint grows."
2028,service_tail_spread_hr,p95-minus-mean service time,Lower tail spread is better,9.138,10.152,19.29,hours,Multi-hop routings and long-tail last-mile legs widen the gap between average and p95 service time.
2028,network_touchpoints_ratio_vs_old,Network touchpoints vs old,Old network operating sites,3.0,45.333333333333336,136.0,x,"PI uses many more operating nodes than the old DC-centric design, increasing orchestration and partner-management burden."
2029,coverage_shortfall_pct_pts,Coverage shortfall to 100%,Ideal full feasible-pair coverage,100.0,2.5900000000000034,97.41,pct-pts,PI expands into harder non-metro flows; a small share of feasible pairs remains uncovered as the network scales.
2029,relay_unready_share_pct,Relay network not ready,Ideal fully ready relay network,100.0,25.269999999999996,74.73,%,"The larger relay mesh creates more edge cases and coordination dependencies, so readiness degrades as the footprint grows."
2029,service_tail_spread_hr,p95-minus-mean service time,Lower tail spread is better,11.728,17.616,29.344,hours,Multi-hop routings and long-tail last-mile legs widen the gap between average and p95 service time.
2029,network_touchpoints_ratio_vs_old,Network touchpoints vs old,Old network operating sites,4.0,84.5,338.0,x,"PI uses many more operating nodes than the old DC-centric design, increasing orchestration and partner-management burden."
2030,coverage_shortfall_pct_pts,Coverage shortfall to 100%,Ideal full feasible-pair coverage,100.0,2.5999999999999943,97.4,pct-pts,PI expands into harder non-metro flows; a small share of feasible pairs remains uncovered as the network scales.
2030,relay_unready_share_pct,Relay network not ready,Ideal fully ready relay network,100.0,30.72,69.28,%,"The larger relay mesh creates more edge cases and coordination dependencies, so readiness degrades as the footprint grows."
2030,service_tail_spread_hr,p95-minus-mean service time,Lower tail spread is better,11.449,16.738,28.187,hours,Multi-hop routings and long-tail last-mile legs widen the gap between average and p95 service time.
2030,network_touchpoints_ratio_vs_old,Network touchpoints vs old,Old network operating sites,5.0,88.0,440.0,x,"PI uses many more operating nodes than the old DC-centric design, increasing orchestration and partner-management burden."
2031,coverage_shortfall_pct_pts,Coverage shortfall to 100%,Ideal full feasible-pair coverage,100.0,2.5999999999999943,97.4,pct-pts,PI expands into harder non-metro flows; a small share of feasible pairs remains uncovered as the network scales.
2031,relay_unready_share_pct,Relay network not ready,Ideal fully ready relay network,100.0,30.72,69.28,%,"The larger relay mesh creates more edge cases and coordination dependencies, so readiness degrades as the footprint grows."
2031,service_tail_spread_hr,p95-minus-mean service time,Lower tail spread is better,11.449,16.738,28.187,hours,Multi-hop routings and long-tail last-mile legs widen the gap between average and p95 service time.
2031,network_touchpoints_ratio_vs_old,Network touchpoints vs old,Old network operating sites,5.0,88.0,440.0,x,"PI uses many more operating nodes than the old DC-centric design, increasing orchestration and partner-management burden."
2032,coverage_shortfall_pct_pts,Coverage shortfall to 100%,Ideal full feasible-pair coverage,100.0,2.5999999999999943,97.4,pct-pts,PI expands into harder non-metro flows; a small share of feasible pairs remains uncovered as the network scales.
2032,relay_unready_share_pct,Relay network not ready,Ideal fully ready relay network,100.0,30.72,69.28,%,"The larger relay mesh creates more edge cases and coordination dependencies, so readiness degrades as the footprint grows."
2032,service_tail_spread_hr,p95-minus-mean service time,Lower tail spread is better,11.449,16.738,28.187,hours,Multi-hop routings and long-tail last-mile legs widen the gap between average and p95 service time.
2032,network_touchpoints_ratio_vs_old,Network touchpoints vs old,Old network operating sites,5.0,88.0,440.0,x,"PI uses many more operating nodes than the old DC-centric design, increasing orchestration and partner-management burden."
2033,coverage_shortfall_pct_pts,Coverage shortfall to 100%,Ideal full feasible-pair coverage,100.0,2.5999999999999943,97.4,pct-pts,PI expands into harder non-metro flows; a small share of feasible pairs remains uncovered as the network scales.
2033,relay_unready_share_pct,Relay network not ready,Ideal fully ready relay network,100.0,30.72,69.28,%,"The larger relay mesh creates more edge cases and coordination dependencies, so readiness degrades as the footprint grows."
2033,service_tail_spread_hr,p95-minus-mean service time,Lower tail spread is better,11.449,16.738,28.187,hours,Multi-hop routings and long-tail last-mile legs widen the gap between average and p95 service time.
2033,network_touchpoints_ratio_vs_old,Network touchpoints vs old,Old network operating sites,5.0,88.0,440.0,x,"PI uses many more operating nodes than the old DC-centric design, increasing orchestration and partner-management burden."
2034,coverage_shortfall_pct_pts,Coverage shortfall to 100%,Ideal full feasible-pair coverage,100.0,2.5999999999999943,97.4,pct-pts,PI expands into harder non-metro flows; a small share of feasible pairs remains uncovered as the network scales.
2034,relay_unready_share_pct,Relay network not ready,Ideal fully ready relay network,100.0,30.72,69.28,%,"The larger relay mesh creates more edge cases and coordination dependencies, so readiness degrades as the footprint grows."
2034,service_tail_spread_hr,p95-minus-mean service time,Lower tail spread is better,11.449,16.738,28.187,hours,Multi-hop routings and long-tail last-mile legs widen the gap between average and p95 service time.
2034,network_touchpoints_ratio_vs_old,Network touchpoints vs old,Old network operating sites,5.0,88.0,440.0,x,"PI uses many more operating nodes than the old DC-centric design, increasing orchestration and partner-management burden."
